"Index","Quantity","Part Number","Manufacturer Part Number","Description","Unit of Measure","Customer Reference","Available","Backorder","Unit Price","Extended Price AUD"
"1","4","108-KMR211GLFSCT-ND","KMR211G LFS","SWITCH TACTILE SPST-NO 0.05A 32V","","","4","0","0.98000","AU$3.92"
"2","4","720-VJ0603Y105KXQCW1BCCT-ND","VJ0603Y105KXQCW1BC","CAP CER 1 UF 10V X7R 0603","","","4","0","0.31000","AU$1.24"
"3","12","720-VJ0603Y104MXJAPCT-ND","VJ0603Y104MXJAP","CAP CER 0.1UF 16V X7R 0603","","","12","0","0.27700","AU$3.32"
"4","18","399-C0603C103K4RECTUCT-ND","C0603C103K4RECTU","CAP CER 0603 10NF 16V X7R 10%","","","18","0","0.10500","AU$1.89"
"5","4","399-C0603C331J5GACTUCT-ND","C0603C331J5GACTU","CAP CER 330PF 50V C0G/NP0 0603","","","4","0","0.17000","AU$0.68"
"6","2","160-1446-1-ND","LTST-C191KGKT","LED GREEN CLEAR SMD","","","2","0","0.22000","AU$0.44"
"7","2","490-1014-1-ND","BLM18AG601SN1D","FERRITE BEAD 600 OHM 0603 1LN","","","2","0","0.15000","AU$0.30"
"8","4","1276-1148-1-ND","CL31A106KPHNNNE","CAP CER 10UF 10V X5R 1206","","","4","0","0.36000","AU$1.44"
"9","2","1276-3047-1-ND","CL31A226KAHNNNE","CAP CER 22UF 25V X5R 1206","","","2","0","0.70000","AU$1.40"
"10","4","RMCF0603FT10R0CT-ND","RMCF0603FT10R0","RES 10 OHM 1% 1/10W 0603","","","4","0","0.15000","AU$0.60"
"11","2","311-120GRCT-ND","RC0603JR-07120RL","RES 120 OHM 5% 1/10W 0603","","","2","0","0.15000","AU$0.30"
"12","4","311-10.0KHRCT-ND","RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603","","","4","0","0.15000","AU$0.60"
"13","6","311-220HRCT-ND","RC0603FR-07220RL","RES 220 OHM 1% 1/10W 0603","","","6","0","0.15000","AU$0.90"
"14","16","2019-RN73H1JTTD1801B25CT-ND","RN73H1JTTD1801B25","RES 1.8K OHM 0.1% 1/10W 0603","","","16","0","0.12700","AU$2.03"
"15","2","497-1241-1-ND","LD1117S33CTR","IC REG LINEAR 3.3V 800MA SOT-223","","","2","0","0.55000","AU$1.10"
"16","2","MAX3485CSA+CT-ND","MAX3485CSA+T","IC TRANSCEIVER HALF 1/1 8SOIC","","","2","0","10.45000","AU$20.90"
"17","2","497-STM32G431K6T6-ND","STM32G431K6T6","IC MCU 32BIT 32KB FLASH 32LQFP","","","2","0","7.45000","AU$14.90"
"18","2","505-ADXL343BCCZ-RLCT-ND","ADXL343BCCZ-RL","ACCEL 2-16G I2C/SPI 14LGA","","","2","0","5.85000","AU$11.70"
"19","2","296-13031-1-ND","CD74HC4051PWR","IC MUX 8:1 130OHM 16TSSOP","","","2","0","0.80000","AU$1.60"
"20","2","XC1007CT-ND","ECS-80-20-18-TR","CRYSTAL 8.0000MHZ 20PF SMD","","","2","0","2.91000","AU$5.82"

